Date,District,Cases
5/23/2020,Manikganj,34
5/23/2020,Meherpur,4
5/23/2020,Moulvibazar,1
5/23/2020,Munshiganj,0
5/23/2020,Mymensing,19
5/23/2020,Naogaon,0
5/23/2020,Narail,0
5/23/2020,Narayanganj,35
5/23/2020,Narsingdi,0
5/23/2020,Natore,0
5/23/2020,Netrokona,5
5/23/2020,Nilphamari,3
5/23/2020,Noakhali,5
5/23/2020,Pabna,0
5/23/2020,Panchagarh,5
5/23/2020,Patuakhali,0
5/23/2020,Pirojpur,1
5/23/2020,Rajbari,29
5/23/2020,Rajshahi,1
5/23/2020,Rangamati,10
5/23/2020,Rangpur,3
5/23/2020,Satkhira,1
5/23/2020,Shariatpur,0
5/23/2020,Sherpur,2
5/23/2020,Sirajganj,6
5/23/2020,Sunamganj,7
5/23/2020,Sylhet,40
5/23/2020,Tangail,1
5/23/2020,Thakurgaon,10
5/22/2020,Bagerhat,0
5/22/2020,Bandarban,9
5/22/2020,Barguna,0
5/22/2020,Barishal,0
5/22/2020,Bhola,1
5/22/2020,Bogura,47
5/22/2020,Brahmmanbaria,3
5/22/2020,Chandpur,13
5/22/2020,Chapai Nawabganj,2
5/22/2020,Chattogram,216
5/22/2020,Chuadanga,0
5/22/2020,Cox s Bazar,46
5/22/2020,Cumilla,57
5/22/2020,Dhaka,229
5/22/2020,Dinajpur,22
5/22/2020,Faridpur,1
5/22/2020,Feni,1
5/22/2020,Gaibandha,0
5/22/2020,Gazipur,0
5/22/2020,Gopalganj,9
5/22/2020,Habiganj,25
5/22/2020,Jamalpur,10
5/22/2020,Jashore,24
5/22/2020,Jhalakhati,9
5/22/2020,Jhenaidah,0
5/22/2020,Joypurhat,27
5/22/2020,Khagrachhari,2
5/22/2020,Khulna,2
5/22/2020,Kishoreganj,19
5/22/2020,Kurigram,0
5/22/2020,Kushtia,0
5/22/2020,Lakshmipur,0
5/22/2020,Lalmonirhat,4
5/22/2020,Madaripur,0
5/22/2020,Magura,0
5/22/2020,Manikganj,10
5/22/2020,Meherpur,3
5/22/2020,Moulvibazar,27
